Initial time: 16197297781619729778 ; 0 ; 2 ; 98559 ; 140663448549120; -1 ; IWANT
1619729779 ; 276 ; 7 ; 98559 ; 140661132162816; -1 ; IWANT
1619729779 ; 277 ; 5 ; 98559 ; 140661123770112; -1 ; IWANT
1619729779 ; 278 ; 1 ; 98559 ; 140661115377408; -1 ; IWANT
1619729779 ; 279 ; 4 ; 98559 ; 140661106984704; -1 ; IWANT
1619729779 ; 280 ; 2 ; 98559 ; 140661098592000; -1 ; IWANT
1619729779 ; 281 ; 3 ; 98559 ; 140661090199296; -1 ; IWANT
1619729779 ; 282 ; 7 ; 98559 ; 140661081806592; -1 ; IWANT
1619729779 ; 283 ; 6 ; 98559 ; 140661073413888; -1 ; IWANT
1619729779 ; 284 ; 2 ; 98559 ; 140661065021184; -1 ; IWANT
1619729779 ; 285 ; 8 ; 98559 ; 140661056628480; -1 ; IWANT
1619729779 ; 286 ; 6 ; 98559 ; 140661048235776; -1 ; IWANT
1619729779 ; 287 ; 2 ; 98559 ; 140661039843072; -1 ; IWANT
1619729779 ; 288 ; 7 ; 98559 ; 140661031450368; -1 ; IWANT
1619729779 ; 289 ; 4 ; 98559 ; 140661023057664; -1 ; IWANT
1619729779 ; 290 ; 6 ; 98559 ; 140661014664960; -1 ; IWANT
1619729779 ; 291 ; 4 ; 98559 ; 140661006272256; -1 ; IWANT
1619729779 ; 292 ; 7 ; 98559 ; 140660997879552; -1 ; IWANT
1619729779 ; 293 ; 9 ; 98559 ; 140660989486848; -1 ; IWANT
1619729779 ; 294 ; 5 ; 98559 ; 140660981094144; -1 ; IWANT
1619729779 ; 295 ; 7 ; 98559 ; 140660972701440; -1 ; IWANT
1619729779 ; 296 ; 4 ; 98559 ; 140660964308736; -1 ; IWANT
1619729779 ; 297 ; 6 ; 98559 ; 140660955916032; -1 ; IWANT
1619729779 ; 298 ; 4 ; 98559 ; 140660947523328; -1 ; IWANT
1619729779 ; 299 ; 8 ; 98559 ; 140660939130624; -1 ; IWANT
1619729779 ; 300 ; 3 ; 98559 ; 140660930737920; -1 ; IWANT
1619729779 ; 301 ; 2 ; 98559 ; 140660922345216; -1 ; IWANT
1619729779 ; 302 ; 1 ; 98559 ; 140660913952512; -1 ; IWANT
1619729779 ; 303 ; 8 ; 98559 ; 140660905559808; -1 ; IWANT
1619729779 ; 304 ; 8 ; 98559 ; 140660897167104; -1 ; IWANT
1619729779 ; 305 ; 7 ; 98559 ; 140660888774400; -1 ; IWANT
1619729779 ; 306 ; 6 ; 98559 ; 140660880381696; -1 ; IWANT
1619729779 ; 307 ; 5 ; 98559 ; 140660871988992; -1 ; IWANT
1619729779 ; 308 ; 5 ; 98559 ; 140660863596288; -1 ; IWANT
1619729779 ; 309 ; 8 ; 98559 ; 140660855203584; -1 ; IWANT
1619729779 ; 310 ; 3 ; 98559 ; 140660846810880; -1 ; IWANT
1619729779 ; 311 ; 1 ; 98559 ; 140660838418176; -1 ; IWANT
1619729779 ; 312 ; 3 ; 98559 ; 140660830025472; -1 ; IWANT
1619729779 ; 313 ; 3 ; 98559 ; 140660821632768; -1 ; IWANT
1619729779 ; 314 ; 3 ; 98559 ; 140660813240064; -1 ; IWANT
1619729779 ; 315 ; 5 ; 98559 ; 140660804847360; -1 ; IWANT
1619729779 ; 1 ; 1 ; 98557 ; 140332540917504; 10 ; GOTRS
1619729779 ; 316 ; 3 ; 98559 ; 140660796454656; -1 ; IWANT
1619729779 ; 317 ; 1 ; 98559 ; 140660715812608; -1 ; IWANT
1619729779 ; 318 ; 5 ; 98559 ; 140660707419904; -1 ; IWANT
1619729779 ; 0 ; 2 ; 98557 ; 140332540917504; 20 ; GOTRS
1619729779 ; 319 ; 6 ; 98559 ; 140660699027200; -1 ; IWANT
1619729779 ; 5 ; 1 ; 98557 ; 140332540917504; 30 ; GOTRS
1619729779 ; 320 ; 8 ; 98559 ; 140660690634496; -1 ; IWANT
1619729779 ; 321 ; 7 ; 98559 ; 140660682241792; -1 ; IWANT
1619729779 ; 322 ; 9 ; 98559 ; 140660673849088; -1 ; IWANT
1619729779 ; 6 ; 2 ; 98557 ; 140332540917504; 40 ; GOTRS
1619729779 ; 323 ; 5 ; 98559 ; 140660665456384; -1 ; IWANT
1619729779 ; 8 ; 2 ; 98557 ; 140332540917504; 50 ; GOTRS
1619729779 ; 324 ; 2 ; 98559 ; 140660657063680; -1 ; IWANT
1619729779 ; 325 ; 9 ; 98559 ; 140660648670976; -1 ; IWANT
1619729779 ; 326 ; 5 ; 98559 ; 140660640278272; -1 ; IWANT
1619729779 ; 327 ; 7 ; 98559 ; 140660631885568; -1 ; IWANT
1619729779 ; 328 ; 2 ; 98559 ; 140660623492864; -1 ; IWANT
1619729779 ; 329 ; 7 ; 98559 ; 140660615100160; -1 ; IWANT
1619729779 ; 17 ; 1 ; 98557 ; 140332540917504; 60 ; GOTRS
1619729779 ; 330 ; 9 ; 98559 ; 140660606707456; -1 ; IWANT
1619729779 ; 331 ; 6 ; 98559 ; 140660598314752; -1 ; IWANT
1619729779 ; 332 ; 5 ; 98559 ; 140660589922048; -1 ; IWANT
1619729779 ; 3 ; 6 ; 98557 ; 140332540917504; 70 ; GOTRS
1619729779 ; 4 ; 6 ; 98557 ; 140332540917504; 80 ; GOTRS
1619729779 ; 333 ; 1 ; 98559 ; 140660581529344; -1 ; IWANT
1619729779 ; 334 ; 3 ; 98559 ; 140660573136640; -1 ; IWANT
1619729779 ; 335 ; 1 ; 98559 ; 140660564743936; -1 ; IWANT
